gs_name,gene_symbol,gs_exact_source
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Nit2,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Ppat,hsa00250
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Atp1a1,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Atp1a2,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Atp1a3,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Atp1a4,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Atp1b1,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Atp1b2,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Atp1b3,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Atp1b4,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Fxyd2,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Fxyd4,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Hsd11b1,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Hsd11b2,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Igf1,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Ins2,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Insr,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Irs1,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Irs2,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Irs4,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Kcnj1,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Kras,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Mapk1,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Mapk3,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Nedd4l,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Nr3c2,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Pdpk1,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Pik3ca,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Pik3cb,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Pik3cd,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Pik3cg,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Pik3r1,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Pik3r2,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Pik3r3,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Pik3r5,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Prkca,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Prkcb,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Prkcg,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Scnn1a,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Scnn1b,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Scnn1g,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Sfn,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Sgk1,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Slc9a3r2,hsa04960
